hospital_name,hospital_ein,code,code_type,description,setting,billing_class,payer_name,plan_name,rate_type,rate_dollar,rate_percent,contracting_method,last_updated_on,source_file
Luminis Health Anne Arundel Medical Center,,270,RC,11 G Bone Biopsy Kit #306-115,both,,,,min,127.77089,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,11 G Bone Biopsy Kit #306-115,both,,,,max,135.6614,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653212108,CDM,11 G Intro Needle #306-110,both,,,,gross,101.85,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653212108,CDM,11 G Intro Needle #306-110,both,,,,discounted_cash,99.813,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653212108,CDM,11 G Intro Needle #306-110,both,,,,min,94.00755,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653212108,CDM,11 G Intro Needle #306-110,both,,,,max,99.813,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653212108,LOCAL,11 G Intro Needle #306-110,both,,,,gross,101.85,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653212108,LOCAL,11 G Intro Needle #306-110,both,,,,discounted_cash,99.813,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653212108,LOCAL,11 G Intro Needle #306-110,both,,,,min,94.00755,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653212108,LOCAL,11 G Intro Needle #306-110,both,,,,max,99.813,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,11 G Intro Needle #306-110,both,,,,gross,101.85,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,11 G Intro Needle #306-110,both,,,,discounted_cash,99.813,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,11 G Intro Needle #306-110,both,,,,min,94.00755,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,11 G Intro Needle #306-110,both,,,,max,99.813,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
